index,Tender Title,Reference No,Closing Date,Bid Opening Date
0,"1. Procurement of M/s Hach make Reagents for use in Silica and Phosphate  Analyser of SWAS and Slica and Sodium Analyser of DM Plant of MTPS, U 7 and 8, DVC",MT/OandM/QSF-05-06-/DBN (25) HQ CandM/712(A),16-Sep-2023 11:00 AM,18-Sep-2023 11:30 AM
1,"2. Tender for Sale of Copper Concentrate of Malanjkhand Copper Project, Khetri Copper Complex and Indian Copper Complex Origin",HCL/CO/MKTG/CONC/23-24/01,25-Sep-2023 03:00 PM,26-Sep-2023 03:30 PM
2,3. Renewal of SAP Datacentre,JPLCNMNIT23241200007758,16-Sep-2023 05:30 PM,18-Sep-2023 03:30 PM
3,4. Supervisory Services for EOT Crane,JPLCNMST23241200007760,16-Sep-2023 05:30 PM,18-Sep-2023 11:00 AM
4,5. Renewal of Trend Micro Renewal of Antivirus License Services,JPLCNMNIT23241200007759,16-Sep-2023 05:30 PM,18-Sep-2023 11:30 AM
5,"6. Repair and restoration works of HDPE lining, pre-cast concrete tiles of Reservoir slopes at IGSTPP, Jharli, Jhajjarat IGSTPP, Jharli, Jhajjar",CRN-4025,25-Sep-2023 03:00 PM,26-Sep-2023 03:00 PM
6,7. Supply of Slip ring assembly and spares for PCRD of BWSR,JPL/CnM/23-24/1100011897,16-Sep-2023 06:00 PM,18-Sep-2023 11:00 AM
7,8. Term contract for civil works at Zone A Administration area Boot plant Lab MM and Wet canteen inside factory at OEFC,CW/TE/E-proc/07/OEF/EO/2023-24,23-Sep-2023 06:00 PM,26-Sep-2023 11:00 AM
8,9. Supply of electrical consumable items,JPL/CnM/23-24/1100011872,16-Sep-2023 06:00 PM,18-Sep-2023 11:00 AM
9,10. Supply of 150W LED Floodlights,JPL/CnM/23-24/1100011846,18-Sep-2023 06:00 PM,20-Sep-2023 11:00 AM
